media_batimentos,menor_batimento,maior_batimento,pressao_menor_min,pressao_menor_max,pressao_maior_min,pressao_maior_max
36.1,24,53,80,85,120,125
228.1,163,238,80,85,120,125
235.6,232,238,80,85,120,125
234.8,232,238,80,85,120,125
235.8,232,238,80,85,120,125
235.6,232,238,80,85,120,125
235.6,232,238,80,85,120,125
235.0,232,238,80,85,120,125
235.0,232,238,80,85,120,125
235.6,232,238,80,85,120,125
235.6,232,238,80,85,120,125
235.2,232,238,80,85,120,125
235.0,232,238,80,85,120,125
235.6,232,238,80,85,120,125
235.2,232,238,80,85,120,125
235.6,232,238,80,85,120,125
235.2,232,238,80,85,120,125
235.6,232,238,80,85,120,125
236.0,234,238,80,85,120,125
235.2,232,238,80,85,120,125
235.6,232,238,80,85,120,125
235.2,232,238,80,85,120,125
235.0,232,238,80,85,120,125
235.0,230,238,80,85,120,125
195.8,61,238,80,85,120,125
74.3,65,83,80,85,120,125
80.9,60,170,80,85,120,125
231.4,218,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.4,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.0,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.4,232,238,80,85,120,125
233.0,232,238,80,85,120,125
232.8,232,238,80,85,120,125
234.4,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
234.2,232,238,80,85,120,125
234.6,232,238,80,85,120,125
234.4,232,238,80,85,120,125
233.1,217,238,80,85,120,125
236.0,234,238,80,85,120,125
73.0,26,198,80,85,120,125
233.6,232,238,80,85,120,125
233.4,232,238,80,85,120,125
234.0,232,238,80,85,120,125
235.8,232,238,80,85,120,125
235.4,232,238,80,85,120,125
234.4,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
234.4,232,238,80,85,120,125
234.2,232,238,80,85,120,125
236.0,234,238,80,85,120,125
235.2,232,238,80,85,120,125
227.4,158,238,80,85,120,125
174.5,41,238,80,85,120,125
234.4,232,238,80,85,120,125
236.0,234,238,80,85,120,125
235.2,232,238,80,85,120,125
235.0,232,238,80,85,120,125
234.6,232,238,80,85,120,125
234.2,232,238,80,85,120,125
235.2,232,238,80,85,120,125
236.0,234,238,80,85,120,125
236.0,234,238,80,85,120,125
236.0,234,238,80,85,120,125
234.4,232,238,80,85,120,125
235.6,232,238,80,85,120,125
236.0,234,238,80,85,120,125
234.4,232,238,80,85,120,125
218.1,112,238,80,85,120,125
235.8,232,238,80,85,120,125
235.4,232,238,80,85,120,125
234.2,232,238,80,85,120,125
236.0,234,238,80,85,120,125
236.0,234,238,80,85,120,125
236.0,234,238,80,85,120,125
235.8,232,238,80,85,120,125
233.4,232,238,80,85,120,125
235.4,232,238,80,85,120,125
235.2,232,238,80,85,120,125
235.8,232,238,80,85,120,125
236.0,234,238,80,85,120,125
236.0,234,238,80,85,120,125
236.0,234,238,80,85,120,125
235.2,232,238,80,85,120,125
235.2,232,238,80,85,120,125
225.7,188,238,80,85,120,125
236.0,234,238,80,85,120,125
235.6,232,238,80,85,120,125
236.0,234,238,80,85,120,125
235.0,232,238,80,85,120,125
235.0,232,238,80,85,120,125
235.0,232,238,80,85,120,125
235.2,232,238,80,85,120,125
235.8,232,238,80,85,120,125
235.2,232,238,80,85,120,125
236.0,234,238,80,85,120,125
234.8,232,238,80,85,120,125
235.4,232,238,80,85,120,125
234.2,232,238,80,85,120,125
236.0,234,238,80,85,120,125
234.8,232,238,80,85,120,125
224.1,136,238,80,85,120,125
235.8,232,238,80,85,120,125
235.0,232,238,80,85,120,125
235.2,232,238,80,85,120,125
233.0,232,238,80,85,120,125
233.6,232,238,80,85,120,125
234.4,232,238,80,85,120,125
235.2,232,238,80,85,120,125
235.8,232,238,80,85,120,125
235.4,232,238,80,85,120,125
236.0,234,238,80,85,120,125
235.8,232,238,80,85,120,125
235.4,232,238,80,85,120,125
234.4,232,238,80,85,120,125
234.4,232,238,80,85,120,125
235.0,232,238,80,85,120,125
234.6,232,238,80,85,120,125
234.4,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
233.6,232,238,80,85,120,125
234.4,232,238,80,85,120,125
234.4,232,238,80,85,120,125
235.2,232,238,80,85,120,125
234.4,232,238,80,85,120,125
235.0,232,238,80,85,120,125
235.4,232,238,80,85,120,125
231.1,185,238,80,85,120,125
115.8,64,238,80,85,120,125
71.9,66,76,80,85,120,125
72.2,64,81,80,85,120,125
74.3,71,77,80,85,120,125
73.7,66,85,80,85,120,125
74.0,59,85,80,85,120,125
68.9,60,76,80,85,120,125
71.3,63,89,80,85,120,125
66.6,59,79,80,85,120,125
71.3,62,79,80,85,120,125
225.9,147,238,80,85,120,125
